PN,Symbol
14,Ac
72,Ag
82,Al
26,Am
114,Ar
95,As
110,At
73,Au
81,B
9,Ba
75,Be
58,Bh
97,Bi
30,Bk
108,Br
87,C
7,Ca
78,Cd
15,Ce
32,Cf
107,Cl
28,Cm
80,Cn
63,Co
51,Cr
5,Cs
71,Cu
50,Db
70,Ds
31,Dy
35,Er
34,Es
25,Eu
106,F
59,Fe
92,Fl
36,Fm
6,Fr
83,Ga
27,Gd
89,Ge
105,H
112,He
45,Hf
79,Hg
33,Ho
62,Hs
109,I
84,In
65,Ir
3,K
115,Kr
13,La
1,Li
42,Lr
41,Lu
104,Lv
98,Mc
38,Md
76,Mg
55,Mn
52,Mo
66,Mt
93,N
2,Na
48,Nb
19,Nd
113,Ne
86,Nh
67,Ni
40,No
22,Np
99,O
118,Og
61,Os
94,P
18,Pa
91,Pb
68,Pd
21,Pm
103,Po
17,Pr
69,Pt
24,Pu
10,Ra
4,Rb
57,Re
46,Rf
74,Rg
64,Rh
117,Rn
60,Ru
100,S
96,Sb
11,Sc
101,Se
54,Sg
88,Si
23,Sm
90,Sn
8,Sr
49,Ta
29,Tb
56,Tc
102,Te
16,Th
43,Ti
85,Tl
37,Tm
111,Ts
20,U
47,V
53,W
116,Xe
12,Y
39,Yb
77,Zn
44,Zr
